Geneid	Trspfl_RNA_1	control_RPF_1	Trspfl_RPF_2	control_RPF_2	Trspfl_RNA_2	Trspfl_RPF_1	control_RNA_1	control_RNA_2
Prdx6	7100	1589	2494	1452	6122	1986	4582	5471
Gal	0	0	0	0	0	1	0	0
Olfr38	0	0	0	0	0	0	0	0
Cyp4a10	1612	524	875	320	2191	470	1182	1120
Ndufaf8	334	30	69	22	359	41	135	213
Acsm1	8948	2842	6793	2392	10005	3910	4386	5790
Rab12	320	30	83	29	307	47	193	203
Nudt7	13353	13291	4371	5454	10562	3560	15237	16341
Hspb2	2	1	0	2	2	3	0	1
Chordc1	1138	486	672	377	1074	536	717	941
Slc35f4	0	0	0	0	0	0	0	0
Nuak2	236	41	78	43	217	59	157	216
Sec14l1	144	31	74	31	163	53	103	118
Sgsm3	135	25	55	28	105	42	84	93
Spsb1	25	5	6	0	19	0	5	17
Scpep1	737	310	697	294	731	464	413	514
Tmem53	185	70	134	76	238	54	115	173
Zfp414	66	9	12	5	50	7	21	35
Gm5886	0	0	0	0	0	0	0	0
Gpr62	2	0	0	0	0	0	0	0
Hmga1b	0	0	0	0	0	0	0	0
Wdr45	1543	553	666	332	1509	450	882	1056
Tmem134	745	15	28	17	622	25	307	454
Depdc1b	5	2	2	0	2	6	1	2
Dgkb	0	0	0	0	0	0	2	0
Rrm2b	47	5	12	7	64	16	19	31
Ccdc171	225	7	52	10	205	52	56	100
Larp1	908	313	407	230	802	310	817	753
Drc3	8	2	7	0	13	3	4	2
Rps6ka3	195	52	108	61	203	83	124	156
Flvcr1	79	7	12	5	53	11	46	32
Olfr1431	0	0	0	0	0	0	0	0
Fth1	35036	1551	2133	1621	31004	1463	9814	14741
Fthl17a	0	0	0	0	0	0	0	0
Ercc8	50	3	6	3	52	4	46	55
Armc1	625	158	182	104	510	111	460	492
Zfp945	205	15	29	13	166	28	92	139
Ppm1b	632	91	123	67	655	85	666	639
Gmfg	62	2	13	4	65	5	16	32
Septin12	0	0	0	0	0	0	0	0
Tnfsf13b	1	0	3	0	5	1	0	3
Degs1	1364	467	627	351	1522	476	941	1140
Ift46	839	94	178	100	879	163	551	583
Baiap2l1	501	255	345	247	386	340	277	435
Naa16	130	38	92	48	123	69	95	133
Zfp946	205	15	14	20	194	14	115	175
Det1	112	13	20	7	116	11	69	64
Txndc11	553	92	131	78	528	96	350	451
Wars2	81	17	17	25	79	20	53	75
Arv1	54	7	6	2	37	4	13	35
Pdcl3	337	73	138	85	383	132	184	249
Myh7	0	0	0	0	2	0	0	0
Albfm1	458	184	181	166	471	137	341	563
Yaf2	331	29	51	37	255	34	182	291
Bbof1	11	1	2	3	4	2	6	12
Dusp12	235	40	43	21	232	30	152	164
Scg3	1	0	0	0	1	0	0	0
Ahnak	271	124	268	56	186	192	191	206
Hdgfl2	492	98	243	106	518	144	205	299
Mmp27	3	1	3	2	10	2	8	4
Cdk16	333	15	28	7	341	14	220	271
Rpn2	4076	1716	2347	1509	3578	2102	2568	2870
Galk1	1029	194	488	183	957	297	362	562
Asic5	984	28	10	68	257	84	328	724
Ndufs3	576	309	492	234	527	293	402	534
Prpf3	137	57	72	29	145	54	66	105
Krtap19-2	0	0	0	0	0	0	0	0
Slc22a30	2418	368	364	253	1789	398	1315	1472
Nadk	3149	282	515	301	3321	333	2210	2659
Efemp1	89	66	89	78	86	83	48	128
Kank4	0	1	0	0	0	0	0	0
Nepro	124	26	32	14	120	36	55	92
Cc2d1a	169	54	92	47	156	63	87	111
Gm13305	0	0	0	0	0	0	0	0
Serpinb8	68	30	33	28	69	27	61	66
Rgs10	37	3	5	4	42	7	22	24
Tmco6	135	42	75	21	146	29	92	115
Pgam1	138	0	0	0	168	0	96	121
Npc2	876	94	147	95	904	101	535	686
Nsmce1	264	67	112	53	283	99	112	152
Cep83	421	16	56	17	328	45	135	189
Prss23	93	1	8	5	63	10	43	64
Atp2c1	1105	183	291	166	1057	245	697	824
Rbpms2	802	131	170	91	706	121	485	678
Nfkb2	163	39	103	17	179	53	74	80
Mrpl35	842	229	336	151	765	231	580	694
Slc25a21	133	53	98	51	152	61	78	111
Prkn	44	7	13	5	40	14	14	21
Car10	0	0	0	0	0	0	0	0
Mical2	255	64	105	50	262	83	185	167
Klk1b16	0	0	0	0	0	0	0	0
Arhgap10	58	13	33	8	51	17	15	14
Slc1a4	109	32	55	19	115	46	54	51
Cyb5r1	135	19	35	16	113	22	69	77
Cysrt1	0	0	0	0	0	0	0	0
Cited4	4	2	5	1	1	0	3	4
Cdca5	15	4	4	0	10	5	6	6
Grasp	9	7	11	5	16	3	13	12
Btd	1196	549	509	359	1153	362	846	970
Mrps17	640	140	209	107	607	161	391	493
Rarres2	5553	2683	3903	2636	5952	2511	3471	4714
Atp6v0e2	5	2	0	1	2	2	4	2
Gm14725	0	0	0	0	0	0	0	0
Ddo	265	49	128	23	283	76	168	184
Nudt16l1	197	12	32	15	175	24	91	143
Nrg4	137	3	8	0	106	9	30	42
Ldhc	0	0	0	0	0	0	0	0
Nipsnap3a	0	0	0	0	0	0	0	0
Slc2a5	185	19	28	26	186	7	82	139
Prm1	0	0	0	0	0	0	0	0
Cd2	10	2	2	1	5	0	2	3
Ppp1cc	25	0	0	0	17	0	9	18
C2cd2l	728	55	84	52	670	79	462	655
Rpl38	184	0	1	0	159	0	141	130
Hoxb4	15	1	1	0	10	3	4	13
Hoxd3	0	1	1	0	0	0	0	0
Hoxb3	13	0	0	1	15	0	8	9
Plp2	9	0	2	0	5	1	4	4
Mmp9	9	5	6	3	12	7	6	4
Phc2	181	25	28	19	176	31	181	240
Tmem109	320	88	206	91	264	148	201	246
Defb9	0	0	0	0	0	0	0	0
Akap13	677	342	520	325	638	404	505	621
Slco1a5	5	0	0	0	1	0	1	2
Bicd2	377	57	64	52	403	63	240	259
Pofut2	244	47	34	26	248	38	164	182
Zxdc	163	64	83	49	167	56	121	161
Lysmd3	419	66	58	56	365	52	321	482
Sv2c	1	0	0	0	1	0	0	0
Lancl2	136	51	109	46	134	56	97	111
Btnl10	0	0	0	0	0	0	1	0
Zfp157	141	18	20	10	119	29	80	101
Poll	122	28	38	12	114	22	55	56
Impg1	0	0	0	0	1	0	0	0
Nup50	515	96	175	98	562	156	343	399
Mink1	617	172	208	105	592	159	370	407
Ppfia3	0	0	0	1	1	0	0	0
Rpl12	229	0	0	0	150	0	102	206
Ighmbp2	80	30	32	17	70	27	62	54
Hal	5333	2386	3857	1813	5828	2268	3522	3877
Gcnt1	18	0	1	0	11	0	4	7
Adgre5	216	273	240	179	228	164	153	154
Sema5b	14	4	4	3	14	3	16	15
Tmem14c	1491	668	730	463	1438	538	872	1261
Eprs	2702	1309	2478	1211	2684	2013	1653	2042
Fmr1nb	0	10	17	1	27	0	16	2
Zbed6	310	59	62	36	347	42	289	382
Homer1	141	25	30	14	147	17	108	152
Rbm6	272	22	64	34	294	51	152	195
Ly96	45	36	26	17	47	31	35	40
Fbxo34	214	20	25	19	217	28	91	191
Rxrg	67	20	26	6	95	19	22	42
Gabrb3	5	3	0	2	5	1	16	14
Fthl17f	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
Slc45a4	118	15	14	6	93	15	64	77
Trim13	22	3	10	7	26	7	5	16
Romo1	567	64	105	60	703	87	269	375
Kdm4c	133	49	98	51	153	79	85	117
Rundc3b	11	3	3	1	7	2	3	0
Vgll3	4	1	1	0	4	0	5	3
Tspan12	3084	283	419	303	2754	355	2561	3171
Pon3	2498	750	933	646	2345	768	1909	2247
Mat2a	746	230	238	201	729	235	542	629
Ppp1r9a	91	10	14	4	126	8	63	92
Sipa1l2	77	12	25	16	130	9	51	47
Fbxo39	0	0	0	0	0	0	0	1
Htr3a	0	0	0	0	0	0	0	0
Paxip1	299	37	31	24	241	38	165	246
Gfpt2	6	2	7	1	8	3	5	2
Slc7a5	30	15	25	4	31	18	31	31
F3	52	5	10	10	47	12	37	45
F2rl2	8	0	0	0	3	0	1	2
Arhgap1	173	67	110	53	159	62	100	120
Nkapl	3	1	3	1	6	6	2	6
Gabarap	2766	1172	1644	1050	2508	1405	1760	2357
Snd1	1794	1218	2020	917	1539	1333	1220	1394
Rnf113a2	170	43	97	60	182	73	108	160
Lum	129	53	83	35	137	72	89	135
Olfr30	0	0	0	0	0	0	0	0
Olfr1395	0	0	0	0	0	0	0	0
Olfr895	0	0	0	0	0	0	0	0
Tagln3	3	0	0	0	2	0	2	2
Hoxd8	0	0	0	0	0	0	1	0
Rasgef1a	0	0	0	0	1	0	0	1
Rnf103	1486	442	514	382	1171	383	1238	1544
Tspan8	55	1	20	5	61	17	20	21
Pde9a	414	124	215	101	458	138	266	343
Atp13a4	0	0	0	0	0	0	0	0
Serpina1e	35707	12482	12695	16800	25476	11663	49047	61401
Serpina1d	21407	3131	4281	2746	21037	2341	15168	22228
Serpina1c	13734	1539	4555	2270	12293	2026	7733	14957
Ngrn	314	166	146	65	305	101	201	239
Hgs	745	294	464	250	717	328	529	574
Gm7030	0	0	0	0	0	1	0	0
Med19	158	65	173	101	137	116	122	135
Nosip	546	106	187	96	504	111	228	344
Nudt8	248	32	64	22	241	33	116	175
Ostc	1607	459	654	310	1568	452	980	1142
Snw1	572	112	321	150	546	214	308	414
Ubxn2b	81	13	34	14	74	32	44	55
Gm3173	0	0	0	0	0	0	0	0
Camk1d	587	153	174	156	648	89	691	851
Zdhhc16	136	14	13	6	124	15	95	100
4933436I01Rik	0	0	0	0	0	0	0	0
Speer4d	0	0	0	0	0	0	0	0
Pigo	199	46	50	26	176	43	116	143
Rnls	11	3	2	1	14	1	10	8
Tsc1	515	65	128	66	505	75	291	358
Mtss2	31	6	9	6	24	7	27	20
Tchh	11	1	3	2	13	0	9	8
Ago1	320	40	48	34	260	46	199	267
Dcp1a	95	18	27	18	97	30	68	60
Dclk2	9	0	0	1	10	1	3	11
Rora	909	191	234	190	745	179	806	974
Pdcl2	0	0	0	0	0	0	0	0
Nog	0	0	0	0	0	0	0	0
Nnt	722	254	388	192	763	235	481	529
Ankfy1	666	239	442	165	627	284	432	425
9130019O22Rik	26	1	10	3	18	1	15	22
Dmpk	797	7	78	6	759	59	118	159
Pacs2	233	12	35	7	228	24	118	144
Ltc4s	4	4	0	2	10	3	0	9
Cdhr1	0	0	0	0	1	0	0	0
Myo3a	7	0	0	0	3	0	3	0
Klrb1c	13	2	1	0	8	1	10	11
Tfcp2l1	128	16	52	9	141	40	31	53
Rgs18	1	0	1	0	4	0	0	2
Kcnh1	0	0	0	0	0	0	0	0
Marcksl1	69	6	19	10	68	11	40	52
Afdn	726	252	424	270	740	346	493	506
Pnck	3	0	0	0	2	0	1	1
Cd200r2	0	0	0	0	0	1	0	0
Adgrb1	0	0	0	0	1	1	0	0
Prodh2	2174	1263	1642	698	2401	926	1456	1497
Agpat1	97	6	13	6	92	12	56	63
Epcam	34	4	8	6	35	11	26	19
Blnk	2	1	5	4	7	4	11	6
Tmem222	373	47	56	33	388	43	226	297
Runx3	3	0	0	0	5	1	1	1
Gpatch4	199	36	42	31	219	31	99	88
Ccdc192	0	0	0	0	0	0	0	0
Fbxw9	284	44	61	36	311	50	181	228
Ercc6l2	237	27	46	23	230	39	131	170
Zmat2	677	160	349	216	746	284	430	540
Polr2l	48	0	0	0	30	0	18	34
Rpl35	33	0	1	0	40	0	15	21
Aen	120	16	31	19	152	24	86	89
H2-L	0	0	0	0	0	0	0	0
Thap4	190	29	31	17	192	23	116	155
Cyp21a1	4	0	0	1	3	0	1	7
BC017158	188	75	123	72	175	108	127	136
Dcaf4	56	4	16	4	48	13	10	20
Mettl4	314	20	45	22	274	38	140	175
Neu3	16	12	11	8	25	6	24	8
Spryd4	487	55	118	39	486	78	289	263
Pcdhga9	1	1	0	1	0	0	0	0
Gopc	555	207	343	193	596	251	346	444
Olfr111	0	0	0	0	0	0	0	0
Dlg2	1	0	0	0	1	1	0	2
Cpb1	782	1	1	0	0	814	0	0
Prkar2b	7	3	5	1	4	3	2	4
Bud31	933	349	622	362	1035	508	479	740
Trank1	0	0	0	0	0	0	0	1
Dtwd2	27	7	13	5	28	11	32	27
Srgap1	10	4	9	3	8	1	6	8
Tubg2	4	0	0	1	1	0	2	0
B3galt6	49	11	14	7	59	7	37	39
Glrx5	2570	186	599	176	2643	270	1111	1621
Kremen2	1	0	0	1	1	0	0	1
Tlk1	573	68	124	83	524	109	410	500
Gas8	43	11	35	6	41	25	22	24
Dnajc10	763	107	149	96	757	103	475	555
Kcnj12	0	0	0	0	0	0	0	0
Gm12169	0	0	0	0	0	0	0	0
Ppp2r1b	408	141	192	118	359	175	259	283
Prima1	0	0	0	0	0	0	1	0
Il1f10	0	0	0	0	0	0	0	0
Srms	9	6	3	5	10	0	13	7
Ackr4	20	12	9	6	15	7	16	12
Alox12e	0	0	0	0	0	0	0	0
Il27	3	0	0	0	2	1	2	2
Psg22	0	0	0	0	0	0	0	0
Extl2	147	33	34	23	153	20	117	125
Scarb2	3868	2006	1695	1386	3357	1412	2808	3680
Olfr1466	0	0	0	0	0	0	0	0
Olfr1462	0	0	0	0	0	0	0	0
Ctrc	9	0	0	0	1	1	0	0
Btg4	0	0	0	0	0	0	0	0
Wdr45b	419	42	83	50	403	100	169	259
Naa60	930	197	217	177	788	206	705	767
Igf2bp3	25	1	15	0	45	7	2	10
Brf1	167	19	49	21	180	45	128	109
Slamf8	20	2	2	0	11	1	5	10
Rnf186	77	48	39	16	69	21	61	84
Fbxo25	214	32	45	20	221	47	145	139
Bcs1l	273	74	142	52	277	93	144	155
Tmem170	40	9	17	6	34	5	41	26
Thap2	165	14	27	9	132	19	74	113
Clec4g	1783	582	622	364	2146	460	1045	1277
Mup15	0	0	0	0	1	0	1	4
Abcb4	4582	2076	3094	1821	3756	2546	3466	3926
Chchd1	455	119	167	81	435	100	262	403
Tomm6	717	277	417	177	636	265	482	585
Fmc1	344	254	162	173	341	147	257	317
Cfap97d2	0	0	0	0	0	0	0	0
Tmem240	3	0	0	0	0	0	2	1
Tnni1	0	0	0	0	0	0	0	0
Ear2	0	0	0	0	2	0	0	1
Rpia	58	17	26	16	54	13	30	67
Rpl18	173	12	33	21	280	16	114	130
Mst1r	4	1	2	0	2	2	3	3
Rala	433	72	113	47	365	60	237	338
Rab32	487	195	141	132	574	129	401	463
Rpap1	161	41	88	46	176	59	121	92
Slc25a43	0	0	0	0	3	2	1	1
Fbxl4	609	70	141	64	622	81	299	394
Tcl1	0	0	0	0	0	0	0	0
Smchd1	297	88	241	126	282	159	193	245
Tmem59	4932	2232	2722	1697	5032	2242	3179	3789
Adgra3	567	75	64	49	550	46	471	551
Zfp955a	52	4	8	13	46	7	29	50
Srsf1	1389	167	265	129	1305	171	892	988
Sdhaf3	85	17	38	17	107	26	64	79
Krtap19-9b	0	0	0	0	0	0	0	0
Krt75	0	1	0	0	0	0	0	0
Olfr1086	0	0	0	0	0	0	0	0
Olfr18	0	0	0	0	0	0	0	0
Sumf1	533	87	139	79	473	102	327	381
Serpinc1	27005	16098	15710	11804	27177	11324	21015	26754
Irf2bp2	591	256	189	219	498	136	731	835
Chit1	0	0	0	0	0	0	0	0
Tet1	4	0	0	0	5	0	2	1
Cask	240	74	91	68	163	71	184	231
Cand1	939	729	1262	646	850	839	806	888
Gm5617	211	60	61	31	202	46	141	168
P2rx2	1	0	1	0	0	0	0	0
Ehhadh	7656	4145	5847	2859	7644	3972	4959	5696
Mstn	0	0	0	0	0	0	0	0
Abcd2	445	80	305	91	568	136	196	227
Ccdc70	0	0	0	0	0	0	0	0
Gramd2	0	0	0	0	0	0	0	1
Cars2	207	47	64	35	236	32	160	172
Ssbp2	17	4	0	8	16	3	12	11
Pde4c	162	36	52	23	198	39	78	83
Dcn	3939	1284	1606	1126	4102	1326	2462	3783
Dck	98	25	55	23	92	35	55	54
Vmn2r51	2	0	0	0	0	0	0	0
Vmn2r50	0	0	0	0	1	0	0	0
Slc25a40	58	2	24	5	54	10	30	21
Scyl3	330	115	131	83	296	100	229	308
Prc1	34	8	11	1	21	16	27	13
Theg	0	0	0	0	0	0	0	0
Parp12	689	222	483	184	744	350	375	369
Arid3c	0	0	0	0	0	0	0	0
Per3	93	1	15	4	160	1	35	60
Zfp12	167	12	24	9	136	19	113	126
Vmn2r78	0	0	0	0	0	0	0	0
Vmn2r77	0	0	0	0	0	0	0	0
Unc13c	0	0	2	0	0	0	0	0
S100a7l2	0	0	0	0	0	0	0	0
Susd1	90	16	21	9	100	17	58	64
Neurl2	24	23	94	32	27	61	8	19
Prss8	142	11	37	12	198	19	38	110
Abhd11	388	88	150	85	441	81	240	367
Hnrnpl	1329	784	903	578	1062	723	903	1237
Usp11	12	6	14	4	12	10	6	16
Acer1	0	0	0	0	0	0	0	0
Amigo1	68	8	14	2	65	6	52	72
Aph1a	86	5	6	2	83	2	54	58
Olfr108	0	0	0	0	0	0	0	0
Olfr1196	0	0	0	0	0	0	0	0
Olfr1204	0	0	0	0	0	0	0	0
Snapc2	154	33	37	27	107	25	73	97
Olfr164	0	0	0	0	0	0	0	0
Olfr1314	0	0	0	0	0	0	0	0
Glyctk	3326	63	52	29	3281	27	2298	2486
Steap2	102	9	23	15	116	20	45	76
Tmem52b	0	0	0	0	0	0	1	0
Ezh2	94	21	46	15	70	38	39	59
Lefty2	0	0	0	0	0	0	0	0
Msrb3	141	28	31	26	127	17	135	167
Slc9a4	1	0	0	0	0	0	0	0
Rubcnl	3	2	5	4	6	1	7	3
Trim61	0	0	0	0	0	0	0	0
Suz12	406	68	144	69	291	117	188	287
Fam193a	170	47	108	49	188	82	105	138
Zfp217	117	31	45	32	96	26	72	84
Mup19	0	0	0	0	0	0	0	0
Gm21953	0	0	0	0	0	0	0	0
Vmn1r245	0	0	0	0	0	0	0	0
Fermt2	1598	1097	910	698	1446	638	1730	2097
Lrrc29	50	6	18	10	52	7	27	33
Rragc	500	69	103	74	489	87	381	510
Snx3	1350	320	1003	469	1236	744	763	955
Kctd4	0	0	0	0	1	0	0	1
Star	27	2	0	0	16	3	22	22
Faap24	29	1	11	4	21	4	13	17
Vgll4	442	64	136	71	386	81	277	339
Cept1	1160	381	598	427	1063	495	770	1013
Gabra3	30	6	9	9	16	17	16	33
Tpcn2	29	5	9	9	29	9	20	22
Il7r	7	2	2	0	7	1	4	4
Wnt5a	8	0	5	6	8	1	9	8
Zmat3	154	8	19	8	114	16	88	66
Lpo	0	0	0	0	0	0	0	0
Itih2	12468	9065	11084	8029	13749	6682	12187	15490
9930111J21Rik2	0	0	0	0	0	0	1	0
Acp1	175	5	11	7	182	11	111	161
Bambi	65	8	12	20	69	8	69	80
Kcnj13	4	0	1	1	1	0	0	3
Lcn12	1	0	0	0	3	0	0	0
Ccdc93	311	84	165	85	260	137	158	207
G2e3	79	16	26	25	70	21	36	57
Slc5a12	0	0	0	0	0	0	0	0
Gbp2b	116	28	38	38	58	46	49	96
Gata6	133	22	62	24	107	19	72	76
Gast	0	0	0	0	0	0	0	0
Gart	529	239	395	198	508	286	337	326
Mep1a	1	0	0	0	0	0	1	0
Meox2	1	0	0	1	0	0	0	0
Msh3	259	50	64	57	230	54	163	272
Tmem94	311	74	115	48	266	69	182	191
Mdh1b	0	0	1	0	0	0	0	0
Ttc41	48	2	5	3	48	7	35	19
Hnf1b	94	35	49	19	84	29	77	88
Tcf15	0	0	1	0	0	0	0	0
Sftpb	0	0	0	0	0	0	1	1
Cul3	929	236	613	362	780	537	507	783
Defa43	0	0	0	0	0	0	0	0
Gbp11	142	2	8	1	127	3	45	33
9230112D13Rik	0	0	0	0	0	0	0	0
Prl6a1	0	0	0	0	0	0	0	0
Eif2ak2	419	94	248	109	408	185	209	253
Mapk8ip1	29	2	7	0	21	0	14	10
Mapk11	14	4	5	2	7	1	14	9
Por	5916	1859	3912	1910	5724	2535	2539	4188
Defa4	0	0	0	0	0	0	0	0
F2rl1	3	0	1	0	7	1	2	3
Abcd4	209	32	83	30	229	53	107	122
Fgf8	0	0	0	0	0	0	0	0
Lcmt1	148	61	58	37	166	40	86	126
Krtap5-3	0	0	0	0	0	0	0	0
Impdh1	34	14	16	10	38	17	27	29
Prrc2c	622	378	838	438	589	590	287	422
Jchain	27	14	14	6	19	4	21	28
Tubgcp4	242	68	102	52	257	90	186	191
Gatd1	385	55	96	51	340	55	296	256
Txndc9	387	55	129	53	408	96	221	308
Tmem18	346	36	77	21	385	45	188	207
Upb1	6411	2032	3158	1742	6508	2247	3958	4990
Rgs4	51	2	10	6	37	7	22	29
Rgs2	132	34	49	27	141	35	65	85
Tomm70a	2231	358	826	480	1953	581	1260	1828
Atp5o	2622	1683	1527	834	2966	1156	1793	2111
Med10	167	52	100	61	184	51	90	165
Vmn1r24	0	0	0	0	0	0	0	0
Vmn1r26	0	0	0	0	0	0	0	0
Lrrc69	1	0	0	0	2	0	0	0
Bap1	570	89	116	54	542	74	359	419
Efcab9	0	0	0	0	2	0	2	1
Dcps	367	100	167	107	342	95	243	306
Paics	3970	838	1865	917	3910	1474	2328	3061
Dram1	19	3	7	4	11	2	11	11
Prdx2	1164	505	905	553	1293	715	828	991
Nfxl1	311	57	93	42	308	65	184	336
AU041133	48	2	5	4	44	4	29	32
Cypt2	0	0	0	0	0	0	0	0
Dynap	0	0	0	0	0	0	0	0
Ccdc130	92	16	24	14	63	18	46	50
Eqtn	1	0	0	0	0	0	1	0
Cadm2	0	0	0	0	1	0	0	0
Inpp4b	26	4	4	3	19	7	13	16
Heatr1	226	260	284	165	262	255	190	225
Olfr972	0	0	0	0	0	0	0	0
Phb2	2140	476	773	382	2266	471	1292	1641
Lamp5	0	0	0	0	0	0	0	0
Vmn1r64	0	0	0	0	0	0	0	0
Olfr143	0	0	0	0	0	0	0	0
Olfr473	0	0	0	0	0	0	0	0
Tmem176a	3891	900	2133	794	3823	1675	990	1542
Atp5g2	8	0	0	0	10	1	4	11
4931429L15Rik	0	0	0	0	0	0	0	0
Olfr482	0	0	0	0	0	0	0	0
Olfr488	0	0	0	0	0	0	0	0
Olfr43	0	0	0	0	0	0	0	0
Lce3b	0	0	0	0	0	0	0	0
Vrk1	131	38	106	48	129	59	78	76
Klhl35	1	1	0	0	0	0	1	0
Ptpn7	8	1	1	0	5	1	1	5
Gls	101	16	30	28	81	41	63	72
Sarnp	62	19	20	13	56	20	32	56
Zfp143	86	16	44	24	70	53	49	93
Mon1a	324	32	49	32	314	29	160	220
Glce	371	79	71	68	351	57	306	462
Bricd5	0	0	0	0	0	0	0	0
Nudt4	2764	254	353	206	2350	320	1919	2511
4930590J08Rik	0	0	0	0	1	0	0	0
Srsf12	0	1	0	0	0	0	0	0
Ogfod1	296	69	124	58	301	68	167	201
Fat4	35	40	44	14	39	22	28	37
Scd4	24	4	5	6	21	1	89	48
Armcx2	50	3	13	4	54	7	31	29
Kctd15	237	9	12	5	257	12	116	116
Psmc1	1534	225	676	405	1628	562	942	1253
Lama5	61	29	48	25	52	25	27	30
Ccnjl	3	0	1	1	3	1	5	1
Olfr455	0	0	0	0	0	0	0	0
Cfap126	28	4	6	2	31	3	7	17
Pgd	1768	365	1278	331	1714	969	552	636
Tex50	0	0	0	0	0	0	0	0
Cldn34b3	0	0	0	0	0	0	0	0
Dpy19l2	0	0	1	0	1	0	0	0
Vmn1r20	0	0	0	0	0	0	0	0
Duox1	1	0	1	0	1	0	0	0
Bcan	0	0	0	1	0	0	0	0
St8sia5	0	0	0	0	0	0	0	0
Cyp51	2648	1856	1803	1681	2531	1418	2571	3538
Brca1	37	7	32	4	59	8	9	22
Bmx	4	1	3	0	3	2	1	5
Gpr61	2	0	0	0	0	0	0	0
Plppr5	0	2	0	0	0	0	0	0
Cdv3	575	60	117	57	525	72	402	594
Bub1	10	1	5	1	6	6	8	2
Tnfaip8	57	9	26	9	54	9	24	44
Nav2	377	204	284	136	408	197	273	279
Nags	1507	430	501	308	1641	307	1215	1382
Xylt2	259	45	52	27	236	28	204	189
Shisa2	2	0	1	0	6	1	5	7
3110040M04Rik	0	0	0	0	0	0	0	0
Cetn4	1	0	0	0	0	0	0	1
Tex13b	0	0	0	0	0	0	0	0
Aadacl2fm1	0	0	0	0	0	0	0	0
Map6	1	0	0	0	1	0	1	1
Pdlim7	98	19	71	24	150	53	48	86
Ly6h	0	0	0	0	0	0	0	0
Sycn	80	0	0	0	0	68	0	0
Mogat1	50	10	5	7	3	10	16	18
Dop1b	689	174	356	115	666	286	214	316
Etfb	4552	2432	3230	2216	5212	2451	3202	3915
Pbp2	0	0	0	0	0	0	0	0
Ms4a6d	66	11	15	11	53	9	24	34
2310030G06Rik	320	20	62	32	243	44	187	288
Nol3	17	2	13	0	14	3	2	4
Dtnbp1	558	126	208	104	597	150	319	463
Fam221a	6	0	0	2	6	1	1	2
Bdh2	330	106	107	61	307	64	190	273
Leng1	90	43	87	51	101	57	44	83
Zfp511	74	15	16	3	65	11	46	51
Casp9	332	91	103	58	301	55	283	283
Ciita	20	8	18	5	25	3	18	20
Mcm8	84	11	22	13	79	20	35	28
Klra2	50	13	14	18	39	21	22	28
Apc	373	79	143	75	348	89	263	337
Yes1	391	97	136	102	390	118	266	315
Krtap4-13	0	0	0	0	0	0	0	0
Maob	2940	1119	2740	1304	3343	1763	1553	2317
Plxnb1	413	109	134	86	639	87	328	391
Atrip	0	20	59	25	0	33	0	0
Slco1a1	1304	3835	263	3113	729	365	9482	11865
Nagpa	227	37	55	27	207	38	119	146
Atp5l	114	0	0	1	98	1	72	85
Mkln1	1485	521	1021	577	1509	848	856	1245
Ptrhd1	136	13	45	14	147	18	72	82
Il6	0	0	0	0	0	0	0	0
Itga5	354	153	259	106	389	155	228	211
Afp	23	9	6	7	29	6	6	22
Vps26c	521	165	250	112	540	144	325	373
Scrn3	1253	202	436	247	1157	314	833	976
Pdzk1	1979	852	1057	633	2029	842	1025	1402
Spata20	0	0	0	0	0	0	0	0
Csdc2	3	0	0	0	2	0	3	3
C030006K11Rik	573	33	66	40	544	51	336	412
Pbdc1	164	23	30	20	150	20	121	127
Lsm3	164	16	41	17	130	28	45	95
Gss	1841	428	1138	482	1871	832	673	935
Ttll7	65	4	23	4	71	14	24	25
Nhlh1	0	0	0	0	0	0	0	0
Klk1b4	44	14	4	8	31	10	40	44
1700049E17Rik1	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0
Plpbp	1255	368	641	333	1110	438	809	1033
Crtap	69	24	38	20	70	28	53	47
Mx2	76	6	8	6	85	11	43	63
Muc1	6	1	4	1	7	2	3	4
Mt3	0	0	0	0	0	0	0	0
Mt1	722	24	571	27	898	314	36	85
Msx2	0	0	0	0	0	0	0	0
Msh5	23	0	3	0	20	0	4	6
Gabre	1	0	0	1	1	0	0	2
Ndufa13	2682	689	871	464	2677	630	1424	2030
Gpc3	29	11	33	7	37	29	8	27
Gpc1	36	34	12	23	31	5	78	55
Cpm	46	11	21	8	41	11	28	17
Slc25a33	598	147	106	93	387	91	541	628
Ctsr	0	0	0	0	0	0	0	0
B3galt1	256	40	61	37	181	32	175	242
Mfap1a	47	0	0	0	26	0	25	23
Tnr	0	0	0	0	0	0	0	1
Heatr5b	361	204	307	125	389	213	212	202
Slc35a4	126	0	2	0	108	1	72	82
Defa37	0	0	0	0	0	0	0	0
Brap	1425	447	490	440	1211	364	1380	1645
Elac2	497	181	293	159	425	236	298	347
Ephb2	4	1	2	0	3	0	2	1
Zc3h18	488	94	231	90	510	163	270	335
Tatdn2	289	21	34	12	260	20	228	247
Igf1r	43	47	25	20	34	27	23	26
Oaz3	1	1	0	0	0	0	0	1
Rab25	2	0	2	2	1	1	2	3
Cramp1l	252	44	72	19	235	55	125	112
Vmn1r132	0	0	0	0	0	0	0	0
Gpr108	455	96	133	97	411	124	299	339
