geneid	control_RPF_2	control_RNA_2
Taf5	309	2759
Pex6	79	352
Hao	2	5
CG18004	97	1548
CG30020	132	7196
cag	12	712
CG12942	366	3110
ND-B14	192	1609
Polr2E	313	1389
polyph	0	0
Obp47a	0	0
Spn47C	0	21
luna	23	98
CG43188	0	0
Cyp12d1-p	6	40
Cyp12d1-d	0	0
BBS4	0	2
CG13229	2	16
CG13231	0	0
CG12391	270	6444
CG13230	0	1
shn	126	3557
CG9084	4	2
Syx6	10	2714
CG7737	44	1744
metro	72	466
CG13218	1	4
CG13228	2	4
CG13227	4	5
CG34223	0	0
CG13217	0	0
CG34224	0	0
CG13216	0	0
CG13215	0	0
Listericin	3	0
CG13226	2	0
CG34225	0	0
CG34227	0	0
CG43112	6	0
Or47a	2	0
Cpr47Ea	0	0
Cpr47Eb	1	0
CG13223	0	0
Cpr47Ec	0	0
Cpr47Ed	0	0
Cpr47Ee	0	0
Cpr47Ef	0	0
TpnC47D	12	32
Cpr47Eg	0	3
CG9067	83	402
Vhl	15	268
CG9062	133	5335
CG13220	196	2086
Fbl6	91	1690
CG18335	1	17
dare	67	1277
CG30033	0	4
CG18336	0	51
CG42336	160	1563
CG7741	101	2006
Obp47b	0	0
Fpps	326	3376
CG7745	78	2110
nompA	0	0
CG43114	1	1
Or47b	0	0
sha	1	0
lambdaTry	0	0
kappaTry	0	0
zetaTry	0	0
etaTry	1	0
thetaTry	0	0
alphaTry	0	0
epsilonTry	1	0
betaTry	0	0
gammaTry	0	0
CG30031	0	0
CG30025	0	0
deltaTry	0	0
CG13202	0	2
iotaTry	0	6
CG12384	841	3196
ix	88	1201
san	666	6300
Gr47b	0	3
CG13204	13	403
Tapdelta	458	5291
CG13203	1	0
Tsp47F	0	6
Sod3	1819	15523
sprt	1	71
CG30022	85	859
Smyd4-3	2	9
CG30026	28	89
CG34054	5	0
Drip	44	166
CG7763	0	4
Prip	799	12983
qvr	3	27
E(Pc)	110	19628
inv	0	2
en	0	0
tou	185	10379
Egm	149	1251
CG9005	55	8461
CG9003	33	4762
CG34228	27	477
Roc2	104	1125
CG13198	0	2
Tret1-1	406	885
Tret1-2	23	7
Buffy	37	200
CG13196	0	34
wal	881	6243
CG13197	117	3274
Ir48b	0	0
pyr	17	244
ths	10	115
CG13193	0	0
CG42493	0	0
Ir48c	0	0
CG13192	191	1314
Sobp	15	192
CG34229	13	230
S2P	38	3928
CG43190	0	0
Sln	0	1
Mtor	909	25952
CG34230	0	0
Twdlbeta	3	0
Damm	1	4
CG42531	0	0
CG13185	724	4818
cuff	12	260
ERp60	3913	30809
eEF1alpha1	13308	418927
MCPH1	139	9134
Zip48C	12	851
reb	0	1
exp	2	7
PI31	239	3066
ADD1	151	7200
CG30036	0	1
CG30037	0	0
GalT1	17	2654
RnrS	1847	24398
CG34231	6	121
rho-7	102	1048
CG8298	15	2086
otk	3	34
otk2	3	38
Mppe	8	2243
pds5	292	10227
CG8321	62	1329
CG43191	2	8
128up	303	4377
Polr3B	276	1836
Drep1	124	7564
CG30039	0	0
CG44314	0	0
Drep3	0	1
CG8888	7	35
CG13186	0	0
jeb	0	0
CG18343	46	1012
SkpB	0	9
Smyd4-4	294	5383
OSCP1	0	33
Hen1	63	1353
CG8878	279	6544
CG8407	0	16
Prp8	1569	19053
CG13177	0	0
CG34232	0	2
Oda	2432	26734
SmD3	381	2573
CCT5	1825	15360
EndoG	14	1035
CG8860	292	154
wash	139	2603
CG33964	39	0
CG13175	24	0
SmF	223	2239
Cyp6g1	17	52
Cyp6g2	0	1
Cyp6t3	1	1
CG8858	709	3251
RpS11	1760	44604
Sr-CII	0	0
CG13171	0	0
CG8854	1	4
CG13170	0	0
CG43315	0	0
CG43316	0	0
CG43244	0	0
CG13168	0	2
Vha36-2	0	1
Cam	2058	39895
CG42700	0	1
CG8850	0	0
salto	0	0
CG17739	8	12
CG30203	0	2
CG30046	4	48
mIF3	139	1186
CG8841	77	6408
garz	216	2834
CG8490	78	1973
CG34021	0	4
Den1	113	2155
CG8839	162	3253
ana3	417	8287
CG30047	0	7
CG30049	0	0
CG30043	0	0
CG33012	0	0
CG13160	0	0
CG13159	0	0
Cpr49Aa	0	0
Cpr49Ab	2	0
CG13155	1	0
CG8501	0	0
Cpr49Ac	0	0
Cpr49Ad	0	0
Or49a	0	0
CG30048	0	0
Cpr49Ae	0	0
Cpr49Af	0	0
Cpr49Ag	0	1
CG30050	0	0
CG33626	0	0
CG33627	0	0
Cpr49Ah	0	0
CG13157	0	0
CG42782	0	0
CG8834	0	1
CG8520	8	2400
Dera	76	450
CG13154	0	5
Nup54	267	5214
CG43204	0	2
DUBAI	259	3698
Tmem18	126	460
Dyb	64	2425
CG30334	0	13
Lac	262	4605
dgt5	100	2144
CG8545	512	8361
Nepl10	0	16
Dh44-R2	0	295
CG34234	0	0
fdl	53	3736
s-cup	0	1
vis	3	80
achi	3	716
CG13151	24	364
CG8818	36	2516
CG8569	70	1829
CG33632	1	1
fra	144	1840
CG33752	0	0
CG30056	0	3
CG33775	0	1
Cyp301a1	3	4
Ak6	146	731
stil	106	1376
ClC-b	271	4046
Sin3A	533	30856
Amph	148	4595
CG45086	3	0
Galphaq	82	367
CG30054	2	465
CG17760	1	8
muskelin	908	20230
CG33792	0	12
spt4	39	2269
Mvk	82	0
CG33672	71	0
Iswi	788	10693
CG8785	0	0
CG8778	175	2529
ZnT49B	112	3724
CG8646	9	3
nemy	10	56
GLS	348	1137
Nup188	599	8879
CG13148	1	31
CG30053	0	0
Obp49a	0	4
CG8768	21	782
wuc	0	0
CG42663	24	411
Mos	86	4957
Taz	36	2601
mRpL18	125	1361
ox	183	1740
Dgkepsilon	17	1661
Nacalpha	1897	37470
CG12374	0	1
sca	5	6
CG17580	0	0
Cyp9h1	2	1
Or49b	0	0
CG17575	0	0
antr	0	2
CG30486	0	0
CG17574	79	2342
bic	1852	47656
Balat	2	0
Lfg	0	0
AspRS	495	1492
Nmda1	428	3610
vg	0	0
NAT1	5229	58437
CG13319	70	1387
sug	12	43
CG17019	39	3187
SCCRO3	17	2855
Sans	14	57
CG30487	0	0
Mdr49	4	0
CG44251	9	13
CG44250	69	26
CG13321	139	169
Psc	60	1652
CG33798	0	0
Su(z)2	48	1095
CG13323	0	1
CG13324	0	0
Drl-2	106	0
CG44341	0	0
CG13325	0	0
CG3955	0	1
CG13326	1	0
Cap-G	269	7678
Ack-like	306	6148
TppII	1858	20149
ND-MWFE	134	140
Nrk	2	82
CG15870	0	14
GLaz	34	865
Spt-I	101	0
AGBE	463	5109
CG33137	0	3
CG17724	37	221
Kdm4B	31	504
seq	12	0
ValRS	1007	4163
Orc3	209	0
CG34315	0	0
FLASH	22	1969
CG34235	0	0
CG30058	0	0
CG34312	0	4
AQP	1	5
CG4627	23	877
CG4630	1	25
CG4646	125	1301
CG17059	229	739
Fsn	34	3327
Dp	233	12624
Pex13	214	2974
fsd	56	657
Qsox1	205	3257
CG4676	5	225
CG4679	244	2858
GstE14	23	60
Mp20	326	446
CG4712	2	0
CG4714	1	0
CG4716	67	63
CG10799	0	4
CG42319	0	1
Dh31-R	0	1
CG4734	0	0
CG17047	1	0
CG17048	0	0
CG10814	2	0
CG43691	0	0
AttC	1	2
CG4744	0	0
IMPPP	0	0
CG18278	1	355
CG33470	0	0
CG30059	2	161
ATP8A	80	2151
CG30060	0	0
CG30065	0	1
Ser8	1	2
cnn	501	6069
CG30062	0	0
cbs	10	1841
arr	49	576
CG43192	0	0
cbc	107	1078
cid	74	2703
bbc	157	5981
drk	173	4105
mars	110	10050
mip120	114	5329
mEFTu1	631	5356
Vmat	18	129
CG13330	0	0
CG13331	0	2
CG13332	1	6
CG6145	132	3111
CG33156	433	8974
Roe1	196	4442
link	1	8
CG13334	0	0
CG42807	1	3
CG42808	36	48
CG6191	128	369
CG45088	1	0
fand	280	2511
S-Lap5	0	1
CG43058	0	0
CG34236	0	0
CG12464	0	0
tei	6	8
CG6209	1	5
CG13337	0	1
CG18368	0	0
CG6220	0	1
CG6280	1	5
Cpr50Ca	0	0
S-Lap7	0	0
Cpr50Cb	1	1
stj	1	16
fl(2)d	163	5773
CG13339	32	647
CG6329	4	8
CG6337	0	1
CG6347	0	0
CG6357	295	2127
Syngr	0	2
CG30484	0	1
CG30485	0	4
Echs1	655	9349
CG6553	0	0
tum	252	10373
Uba3	174	3344
CG16935	426	1080
CG13344	95	4372
shot	401	4850
DJ-1alpha	1	1
AGO1	264	8020
mRpL53	96	0
CG33155	3	4
Rpn13	946	5466
Cp1	10181	33316
CG42806	22	274
PheRS-m	73	740
St4	58	45
CG18568	0	6
CG6701	533	13885
Ctf4	258	3720
CG8067	34	941
RN-tre	51	4613
mam	66	2868
CG18371	0	3
Prosap	634	10311
CG42287	0	1
CG42288	0	1
Rcd1	419	8254
pea	195	4951
CG13018	29	165
CG13016	61	1504
CysRS-m	51	506
O-fut1	312	4293
eIF3m	422	8304
CG8323	3	306
CG18327	0	41
CG18324	1	0
ReepB	800	5281
mRpS16	232	1089
cg	458	13080
CG30069	56	144
VGAT	0	0
Sox15	0	0
RpS23	1861	54319
CG8468	1	7
Opa1	371	6170
CG8485	77	6112
Usp20-33	214	5032
SmydA-1	94	3161
Mdr50	0	0
Hsc70-5	1321	11839
CG8531	91	5352
beta4GalNAcTA	8	1200
CG8547	57	248
Sps1	715	9133
conv	0	50
Ih	9	132
tej	149	2883
Shrm	80	544
CG8613	79	1749
CG8617	77	1349
Arc1	72	1802
Arc2	12	381
Tfb1	61	7443
CG34184	0	0
CG34442	0	1
CG34443	0	0
CG34444	0	0
Obp50a	0	0
Obp50c	0	0
Obp50b	0	0
Obp50d	0	0
CG34185	0	0
Obp50e	0	0
CG30075	0	0
Dh44-R1	0	0
CG10104	0	0
CG17385	40	5465
Sin1	164	2212
Achl	3	6
phyl	0	0
0	0	0
PRAS40	363	6923
Cpsf160	157	3400
Asx	41	2484
Cpr51A	0	6
CG30197	83	100
ttv	17	2320
CG30076	12	6
CG43919	0	0
LamC	355	1547
CG12869	0	2
Polr1A	543	4638
Blos1	47	555
tra2	15	781
CG12868	20	389
CG33469	1	8
CG33468	1	2
Su(var)2-HP2	196	11235
Sec61beta	371	6642
CG12863	24	918
Had2	3	2
Mtkl	2	2
CG12862	0	0
CG10139	83	968
Adgf-E	0	0
CG12861	0	0
CG12860	0	0
CG12866	1	0
mspo	3	17
CG30479	0	0
CG30480	0	0
CG43428	0	0
jef	1	10
Dro	9	16
AttA	1	1
AttB	1	6
Rpn6	2138	12752
ave	64	792
CG10151	7	70
ND-B15	245	1867
Trs31	125	760
CG12857	0	0
Spred	53	2518
BEAF-32	149	4215
kn	0	2
hui	0	0
Pgm2b	1	0
CG10205	0	0
NaPi-T	0	23
CG10209	118	1391
SMC2	610	6606
Ercc1	108	741
Ciao1	144	1266
HPS1	34	632
CG33506	119	1686
U3-55K	154	2796
Pcf11	238	6558
Cyp6a22	48	3861
Cyp6a17	56	342
Cyp6a23	46	229
Cyp6a19	356	23928
Cyp6a9	48	175
Cyp6a20	2	52
0	0	1
Cyp6a8	0	0
Cyp317a1	10	55
Kank	51	361
Agps	0	2
CG12853	0	0
Lap1	50	4308
CG10257	0	0
aPKC	259	8371
ckn	112	600
pcs	140	11538
CG7639	72	1769
CG10265	70	1686
0	3	6
CG43101	0	0
Obp51a	0	0
CG33467	0	0
chn	279	12600
Polr2K	353	1850
CG8089	46	1309
CG7544	52	1535
igl	1	0
CG43068	0	0
Sfp51E	0	0
CG43829	1	0
GPHR	52	2241
CG11807	32	2826
CG42391	1	5
row	359	8545
Ir51b	0	43
CG8093	0	0
CG11808	84	767
mRpL41	208	403
CG8079	19	1066
Hex-C	4	14
Fs	106	280
scb	323	873
ItgaPS4	0	14
Trpm	55	3544
ND-51L2	2	0
CG8152	24	1846
Xpc	855	12453
CG8155	31	4509
Arf51F	42	5856
CG8157	1	1
CG8160	0	2
Hr51	0	0
unc-5	2	5
Pms2	185	4875
dup	1095	16168
SRPK	601	18117
Stacl	3	57
Mtk	0	0
CG30472	0	0
CG34188	0	0
CG8180	459	27055
CG12964	0	3
Ir52a	0	0
Ir52b	0	0
Ir52c	0	0
Ir52d	1	0
Pgant1	24	4894
Khc-73	167	1804
CG30471	1	0
CG30467	148	1539
CG8187	67	436
Vha36-1	605	6788
eIF2Bgamma	144	2054
CG8192	0	4
CG12963	0	2
CG8195	10	2722
Flo1	161	1115
CG30466	22	327
Cdk5	79	1890
CG8204	65	455
CG42524	0	8
fus	102	6681
CG8207	123	1206
Vha14-1	308	3844
CG30091	0	5
Impbeta11	135	1574
CG30082	0	3
Cep89	0	3
CG30090	0	1
CG30088	0	0
CG30087	0	0
CG33460	0	0
CG33461	0	0
CG33462	0	0
CG42662	0	0
CG30080	0	0
CG46433	0	0
CG30083	0	1
CG30089	33	137
Zasp52	326	1152
tun	13	5108
CG33465	4	1
Poxn	0	1
CG8249	0	1
CG12970	0	0
Gpo1	99	354
Rif1	413	6648
sli	26	191
CG33463	0	0
bdg	71	2112
Diap2	25	3826
bug	121	566
Mlf	669	10128
CG8299	0	1
Cyp4aa1	21	108
COX6AL	0	4
Strn-Mlck	21	265
CG8366	49	1334
CG8314	11	2222
Pex11ab	113	2704
CG8320	64	1549
ATPCL	1102	6255
Tmem131	131	5765
Ufc1	107	880
CG8389	5	1369
CG8388	50	707
Prosbeta1	1470	7390
Rrp42	134	661
EMC7	384	2347
CG8399	158	2957
casp	538	7510
CG8401	0	0
SP2353	1	0
CG8405	75	5349
Dg	479	5129
mRpL34	144	550
CG8414	118	6414
Rho1	656	9620
Ric	1	3894
Asph	36	326
Jhedup	0	0
Jhe	12	6
CG30095	0	2
spin	299	4220
Got1	476	7191
CG30094	47	563
CysRS	550	4981
sotv	80	1400
CG10731	29	614
lbk	46	1739
CG10734	0	0
CG8435	97	2157
Ptp52F	16	39
Lis-1	667	11902
CG8441	233	1604
clu	873	7364
calypso	25	1818
CG44242	137	1515
CG42837	138	0
CG44243	292	0
Shark	47	1914
mrj	104	9734
CG7798	0	0
CG15706	3	1147
Tsf3	1	2
CG15701	2	33
CG7786	1	0
CG3687	0	1
krimp	140	9203
CG15708	0	0
CngA	1	6
fidipidine	40	1689
csul	97	3644
Khc	1232	11918
CG33017	0	5
cato	0	0
prim	0	0
CG15705	0	0
CG7755	0	0
CG9068	0	0
CG30324	1	2
CG30099	0	2
JhI-26	11	24
CG30100	28	0
CG42372	73	0
CG7747	103	1467
Atg9	213	1465
Nox	415	1498
CG8060	28	1417
CG30096	14	355
CG4282	29	3036
0	521	10235
Hmgs	269	4608
CG7997	168	2140
Nup62	171	5196
wcd	233	2258
CG15710	0	1
CG30098	0	0
CG6262	0	0
CG15711	0	0
CG43187	0	0
Sema2b	33	66
Menl-1	0	0
Menl-2	0	0
jtb	22	367
CG7848	0	1
CG4409	0	0
Parp16	0	0
CheB53a	0	0
CheB53b	4	0
CG15712	0	0
CG33458	1	0
CG33459	0	0
S-Lap8	0	0
knon	0	0
Sema2a	528	12495
loopin-1	0	1
Syn2	0	2
DAT	0	8
CG4945	0	26
RpS15	1939	46491
CG4927	1	1
Lst	7	14
Cdk4	80	2328
RpLP2	2374	39406
CG8311	26	1815
CG8306	47	310
CG8303	319	761
CG5089	0	19
CG5065	32	140
Alk	2	1
gprs	0	0
Amyrel	0	0
Nach	2	1
Picot	138	1426
CG34457	1	1
CG34458	0	0
Pgant9	100	3652
Idgf6	785	9795
Sfp53D	0	0
CG15617	0	0
Acp53C14a	0	0
Acp53C14b	0	0
Acp53Ea	0	0
Acp53C14c	0	0
unc-104	25	1433
CG34189	0	4
CG5267	0	13
CG42392	0	0
CG5348	0	1
Sod2	474	4785
Arp53D	0	0
Vkor	1	0
resilin	0	0
CG5522	67	6499
CG15919	0	0
CG15615	0	0
CG5550	0	0
CG34459	0	1
CG34460	0	1
Ugt37C1	0	0
IntS8	120	2169
Fen1	332	2337
Dek	838	18448
Psi	367	4325
eEF1beta	725	24269
CG6426	8	15
CG6421	0	0
CG6429	0	0
CG6435	1	0
CG8910	0	0
CG6472	0	0
inaC	0	0
Pkc53E	57	305
CG43788	0	0
CG43789	0	1
CG15614	0	0
CG34190	0	1
Vha16-4	0	0
mute	150	3375
Ufm1	198	1709
PIG-V	22	3940
CG6665	114	1171
CG9010	0	0
Cbp53E	2	2
ste24c	0	0
CG30461	0	0
ste24b	1	23
ste24a	428	4331
AsnRS-m	51	362
NiPp1	150	2110
CG6805	22	1524
Ehbp1	54	2805
CG8963	861	13288
Dark	27	445
RhoGEF2	353	9541
CG43328	0	0
CG43327	0	0
CG43371	1	1
SmydA-7	2	55
SmydA-6	0	0
CG9646	46	3368
fat-spondin	12	13
tef	25	5414
CG8950	137	1129
Mov10	211	10207
CG30460	67	202
Sply	362	4642
CG6984	104	1009
GstS1	230	7221
0	94	376
CG15611	65	248
Amy-p	2	1
Spn53F	0	0
Amy-d	2	0
CG15605	0	0
Cda9	0	0
CG45273	0	0
Acp54A1	0	0
CG11400	19	42
Gbp1	17	14
Gbp2	13	33
CG43103	80	55
CG43107	13	11
CG17290	0	0
CG17287	7	0
CG30458	0	0
CG30457	0	0
CG10953	0	0
CG44388	0	0
CG10950	0	0
CG43237	0	0
mbl	23	472
CG18469	0	0
CG12699	0	0
CG43272	0	0
CG43108	0	0
CG10939	797	3962
Camp	65	2254
Vajk4	4	16
Prosalpha5	1259	9786
cnk	67	6526
l(2)k01209	199	4839
CG6550	81	1074
Mtap	105	3345
Bap55	407	4070
Lhr	16	595
EDTP	165	8703
CG18467	0	3
mthl4	5	147
mthl3	8	357
CG10764	3	1
robls54B	0	6
robl	153	2293
CG14478	150	8589
Tes	102	2312
qkr54B	104	4485
insb	0	2
CG43110	1	41
veil	112	0
NT5E-2	53	202
CG30103	0	0
nw	0	2
CG34193	0	0
CG4847	3	1
CG4853	26	2728
APC10	45	720
CG4866	258	1520
Patronin	172	4612
eIF3b	1974	36024
Cc2d2a	0	9
CG34194	0	1
cyp33	140	1075
RpL18A	1546	40330
MESR4	167	4946
Klp54D	0	1
CG43324	1	8
CG14480	169	0
CG46428	0	0
Ns2	460	3418
POSH	51	4467
UQCR-6.4	403	2647
CG42239	84	1341
Rab4	150	3449
Dcr-2	482	4342
CG6484	3	9
CG14483	162	4
RhoGAP54D	51	2291
icln	253	2256
CG30105	74	1061
Smurf	41	5299
ND-51L1	0	5
CG43920	0	0
CG42649	0	0
CG10936	10	480
CG44403	0	4
rhi	14	1746
Oxp	42	379
CCHa1-R	1	6
eIF3c	1237	25751
CG30108	32	141
CG30109	44	1596
IBIN	0	0
P32	589	7655
Sema1b	288	12653
HPS4	27	1704
CG42561	0	3
CG42562	1	5
swi2	0	83
rdgBbeta	22	2841
CG46315	15	0
CG6424	52	1
CG10934	0	0
Dlish	0	1
Snx16	84	2311
CG4975	78	16
CG4984	3	29
CG34195	57	1108
Hyccin	22	3354
PIG-A	551	719
Vps50	40	1957
Ir54a	0	15
sub	219	5207
CG10931	0	0
CG5002	7	26
Sardh	0	0
HLH54F	0	0
ACOX1	144	1475
OstDelta	454	8094
CG14488	0	0
CG18635	2	2
CG6362	0	8
CG33981	17	0
fab1	148	0
aft	182	2685
Ubc10	197	3557
CG5033	541	5306
Dhit	4	692
grh	0	6
Orai	49	7726
olf186-M	96	9140
CG30323	0	8
CG14490	0	0
thr	226	8247
Mapmodulin	622	27159
Elk	0	2
CG30325	0	0
CG30110	1	0
PPO1	35	14
CG14492	0	0
CG14491	0	0
PpY-55A	0	0
dpr13	2	15
CG5084	0	0
CG10910	0	1
CG5773	2	2
CG5770	0	0
CG5767	0	0
CG34005	0	0
CG14495	0	1
Muc55B	0	0
CG10911	0	0
CG10912	0	0
CG34386	3	7
CG5757	84	3706
CG5098	55	5886
CG5756	0	2
CG34196	0	0
stau	94	16633
Spn55B	27	190
Dlip3	11	788
Hsf	267	9213
Pcl	201	15599
pAbp	2261	101810
EMRE	123	1737
CG5742	43	1862
adp	43	2281
lolal	165	13365
CG10914	50	670
Naus	58	3380
Nup75	424	3667
CG42518	13	0
MED9	91	0
Dgp-1	90	2009
CG10916	49	151
CG5726	253	7084
nopo	122	3503
CG5721	281	3232
CG33958	0	0
CG14499	0	0
CG14500	0	0
CG30114	0	0
CG46388	0	0
fj	1	8
Ote	729	8864
pen-2	104	1304
sbb	319	15236
CG14502	1	160
CG18536	0	32
CG18537	0	0
CG18538	0	1
CG18539	0	0
CG18540	0	0
CG14505	0	1
Tango8	0	0
BomT1	0	0
BomBc1	0	0
BomS1	2	0
BomS4	3	0
BomBc2	5	7
BomS2	6	9
BomS3	1	6
BomT2	4	1
BomS5	0	0
BomS6	18	4
Idgf5	3	2
GstE10	5	159
GstE1	287	2195
GstE2	0	7
GstE3	22	68
GstE4	0	0
GstE5	8	19
GstE6	1041	3755
GstE7	69	805
GstE8	32	762
GstE9	17	143
imd	43	135
Dp1	2576	18932
CG5174	762	7209
PIG-O	96	2887
Ttd14	465	11131
slim	66	5180
Lamtor2	109	0
CG30120	0	0
Prp19	501	4004
rswl	93	771
CG17669	3	4
CG30116	2	56
GstE11	125	954
CG43066	253	722
Pepck2	5	10
Pepck1	207	0
CG45087	4	0
Rgk2	0	2
GEFmeso	72	234
CG42697	3	0
CG10927	40	412
mRpS28	63	1100
CG5323	181	2361
CG5327	0	0
CG5493	0	0
Atg7	230	2315
CG5335	45	1350
Sec6	152	1777
Eip55E	442	5470
zda	379	4421
CG30122	1391	13930
CheA56a	0	0
Ntan1	68	1990
CG42306	34	0
Gint3	185	0
CG33136	0	0
edl	8	50
CG44435	1	0
CG44434	0	0
CG44433	0	0
CG42855	0	0
Sik3	40	1835
CG15071	0	0
CG15073	55	678
Vps51	157	1615
Hs3st-A	0	9
List	2	0
CG33998	0	0
CG18609	2	9
CG17821	0	0
Cyp12b2	5	31
Jabba	1587	43208
Mctp	39	4564
CG15093	104	705
CG15080	1	44
MFS15	24	789
MFS14	54	102
CG15096	27	35
Phb2	1436	17532
CG15097	3	15
CG15082	0	5
CG15098	1310	10651
CG15083	156	2633
CG15099	284	5261
MetRS	848	5767
CG15084	57	691
CG18190	1154	9745
Jheh1	70	0
Jheh2	433	1
Jheh3	44	342
CG43069	2	0
CG43070	0	0
CG43071	0	0
DptA	0	2
DptB	0	2
CG43109	0	0
sano	5	76
Vha100-3	1	0
prod	110	3818
CG15107	92	2532
Topors	65	2833
CG18605	0	5
tn	6	93
5-HT1B	3	0
CG43351	2	2
CG15115	0	0
CG15116	0	0
CG15109	0	0
5-HT1A	0	0
Ir56a	0	0
CG15117	12	123
botv	29	764
CG15118	113	2669
CG15111	43	2345
ena	100	3638
CG10737	143	2405
hppy	109	4340
CG7137	156	1632
cora	558	1933
wbl	28	21
CG33454	0	0
CG33453	0	0
tbrd-2	0	0
rib	1	14
CG11906	44	2419
AANATL5	0	0
CG10474	0	0
AANATL6	0	0
AANATL4	1	0
Fkbp12	2522	19220
mip40	103	2138
Tab2	250	7043
CG7461	1122	7788
EndoB	124	2292
Rgk1	1	10
CG34045	0	0
fest	2	1
CG11961	36	648
CG10051	0	0
CG9416	39	159
CG10062	19	51
CG10073	3	9
CG10081	4	0
CG11257	20	252
SdhA	439	6217
cer	322	537
hts	845	9568
CalpA	104	1663
Fak	43	4338
Spt5	518	6497
RpL11	1582	43246
Arl6	0	5
EloC	196	2436
betaTub56D	3969	79657
CG7744	114	9585
mei-W68	1	37
par-1	388	21621
TBCB	212	1263
Oseg6	37	2271
Rep	91	1420
hpo	219	3700
CG15120	1	14
CG16926	54	77
CG11007	90	2966
Ir56b	1	6
Ir56c	0	0
Ir56d	0	1
sm	161	690
CG43111	0	1
CG42878	0	0
TTLL6A	0	0
CG42753	0	0
CG18367	0	3
CG43277	2	0
CG15124	0	0
CG15905	0	0
CG15125	0	0
CG11018	0	0
hrg	126	5016
Kpc2	11	751
CG15127	0	0
CG34198	1	0
CG15128	0	0
CG15126	0	0
Obp56a	0	0
Obp56b	2	0
Obp56c	0	0
Obp56d	0	0
Obp56e	0	0
Obp56f	0	0
CG8517	0	0
Or56a	0	0
Obp56g	0	0
Obp56h	0	0
Toll-7	83	6
CG44569	0	0
Obp56i	0	0
CG13872	0	0
CG42690	0	0
CG43195	0	0
CG42691	0	0
CG30447	0	0
CG10822	4	0
CG44622	0	0
CG44623	0	0
CG8654	2	4
CG16898	4	4
CG46443	0	0
0	199	408
CG11041	0	0
CG16894	0	0
CG11044	0	2
CG44624	0	0
CG44625	1	0
CG11099	0	0
CG13869	0	0
Efhc1.2	0	6
Hacl	610	6654
ppk6	0	7
CG9864	271	889
Ate1	73	3492
Hsl	56	4323
PCNA	1787	17419
plu	141	2453
RpS18	2174	47281
CG8908	3	197
CG10444	76	4606
CG11788	75	478
0	360	2673
Mpcp1	1	15
CG16868	31	3151
CG34199	0	2
Cpr56F	0	0
CkIIbeta2	0	0
CG11200	171	831
CG13868	112	587
CG13871	1	0
tapas	164	5500
MED8	127	2116
CG8929	149	2843
CG16739	0	0
CG13870	1	0
CG16741	0	0
CG11192	0	0
side-VIII	4	48
Obp57c	1	0
Obp57b	0	0
Obp57a	2	2
CG13426	0	0
GNBP-like3	3	2
CG30151	1	3
CG30154	11	10
Bbd	58	52
CG13423	0	1
CG13427	1	0
CG13428	1	2
CG30148	0	1
Obp57e	0	0
Obp57d	0	0
Cpr57A	0	0
CG13430	0	0
BORCS7	14	0
lms	0	0
Mgat1	8	1408
CG43308	0	0
qsm	21	275
Nnf1a	68	207
HnRNP-K	710	4374
Hil	9	272
CG9945	105	3286
CG11180	210	3618
FAM21	185	3287
Rcd6	3	17
rig	1044	15570
CG13436	0	8
maf-S	275	1660
CG11110	9	745
Tcs1	32	0
Polr3K	35	0
DMAP1	208	3819
Lrt	0	20
CG16799	3	3
CG11159	0	0
CG13437	0	1
Fem-1	36	2540
exu	2176	10840
galla-1	32	922
Gr57a	0	0
CG13438	0	0
dpr1	1	1
CG13442	0	0
CG34201	0	0
CG34202	0	0
CG13443	0	0
CG43709	0	0
CG43710	0	0
CG43711	0	1
CG44666	0	0
CG43666	0	0
CG43667	0	0
CG43677	1	0
CG43668	0	0
CG15225	0	0
insc	72	852
sktl	176	10323
CG17999	0	1
CG9993	1	0
CAH14	0	0
Dso1	3	11
Dso2	9	10
Ipk1	19	1191
Cib2	0	5
otp	0	0
CAH15	0	0
Rx	1	1
Act57B	256	1301
CG33704	0	0
hbn	0	0
CG15649	0	0
CG34115	5	0
CG9344	191	867
CG15650	0	7
CG9313	0	2
CG15651	1	0
CG3216	0	0
dgt3	119	1844
Prosalpha3	1010	7999
CG10543	82	4113
CG30291	200	1528
grau	79	1682
CG9346	155	2321
Sou	199	2182
RIC-3	4	31
ND-B14.7	228	2224
shg	463	4794
cpa	526	6763
CG15653	28	343
mRpL54	118	1344
Cht8	0	4
Cht12	0	2
Cht4	1	0
Cht9	0	0
CG10527	992	757
Treh	806	4406
Rbpn-5	216	2438
CG34396	2	24
CG4038	499	3783
ktub	0	8
CG9394	68	358
Tmtc3	34	2724
mago	301	4153
Magi	26	3647
CG9406	0	0
Xbp1	249	8025
Hmg-2	141	850
CG15657	0	27
CG30389	177	8395
CG4266	251	3611
hng1	84	727
LSm1	157	1343
Xpd	79	2472
Pu	89	69
CG4286	0	2
tud	802	23846
Lapsyn	43	261
CG44245	9	160
Gyg	114	4191
Ugt49B1	6	13
Ugt49C1	28	56
ASPP	27	372
Rgk3	0	29
CG30391	0	0
CG30393	0	0
CG34203	0	0
MFS16	265	2582
CG10505	0	12
CG30392	61	2063
Sgf29	120	885
RpL29	1461	24605
CG9752	215	2689
CG42672	203	4727
Panx	174	1936
CG9485	284	4876
CG33655	0	1
CG30394	29	552
dom	422	39282
BBS9	0	1
CG9822	0	1
